date,datetime,open,high,low,close,volume,conditions
20241004,2024-10-04 13:45:00,22289.0,22297.0,22288.0,22288.0,734.0,volume_spike
20241007,2024-10-07 08:53:00,22541.0,22562.0,22541.0,22560.0,190.0,long_red_candle
20241007,2024-10-07 09:01:00,22558.0,22564.0,22547.0,22562.0,734.0,volume_spike
20241007,2024-10-07 09:03:00,22557.0,22598.0,22557.0,22594.0,955.0,"long_red_candle, volume_spike"
20241007,2024-10-07 09:05:00,22594.0,22622.0,22594.0,22619.0,608.0,long_red_candle
20241007,2024-10-07 09:06:00,22620.0,22680.0,22619.0,22662.0,2228.0,"long_red_candle, volume_spike"
20241007,2024-10-07 09:07:00,22662.0,22688.0,22661.0,22678.0,883.0,long_red_candle
20241007,2024-10-07 09:12:00,22686.0,22725.0,22685.0,22724.0,1089.0,long_red_candle
20241007,2024-10-07 09:16:00,22734.0,22745.0,22727.0,22736.0,868.0,breakout
20241007,2024-10-07 09:17:00,22734.0,22749.0,22729.0,22741.0,477.0,breakout
20241007,2024-10-07 09:20:00,22737.0,22764.0,22735.0,22759.0,781.0,"long_red_candle, breakout"
20241007,2024-10-07 09:21:00,22759.0,22766.0,22733.0,22746.0,515.0,breakout
20241007,2024-10-07 09:22:00,22743.0,22769.0,22743.0,22764.0,372.0,"long_red_candle, breakout"
20241007,2024-10-07 09:23:00,22764.0,22773.0,22760.0,22762.0,373.0,breakout
20241007,2024-10-07 09:25:00,22765.0,22786.0,22765.0,22773.0,816.0,breakout
20241007,2024-10-07 09:32:00,22738.0,22760.0,22738.0,22757.0,357.0,long_red_candle
20241007,2024-10-07 09:33:00,22757.0,22795.0,22757.0,22784.0,1168.0,"long_red_candle, volume_spike, breakout"
20241007,2024-10-07 09:35:00,22786.0,22798.0,22785.0,22794.0,389.0,breakout
20241007,2024-10-07 09:37:00,22794.0,22808.0,22776.0,22781.0,717.0,breakout
20241007,2024-10-07 09:45:00,22734.0,22737.0,22709.0,22716.0,766.0,volume_spike
20241007,2024-10-07 09:47:00,22718.0,22722.0,22653.0,22669.0,2135.0,volume_spike
20241007,2024-10-07 09:55:00,22612.0,22647.0,22602.0,22645.0,644.0,long_red_candle
20241007,2024-10-07 09:57:00,22648.0,22672.0,22648.0,22664.0,514.0,long_red_candle
20241007,2024-10-07 10:06:00,22660.0,22685.0,22659.0,22682.0,270.0,long_red_candle
20241007,2024-10-07 10:16:00,22599.0,22621.0,22590.0,22619.0,494.0,long_red_candle
20241007,2024-10-07 10:20:00,22610.0,22631.0,22609.0,22625.0,234.0,long_red_candle
20241007,2024-10-07 10:30:00,22592.0,22618.0,22591.0,22618.0,184.0,long_red_candle
20241007,2024-10-07 10:38:00,22610.0,22630.0,22604.0,22630.0,182.0,long_red_candle
20241007,2024-10-07 10:48:00,22630.0,22643.0,22629.0,22641.0,140.0,breakout
20241007,2024-10-07 10:49:00,22637.0,22661.0,22634.0,22649.0,401.0,"volume_spike, breakout"
20241007,2024-10-07 10:50:00,22646.0,22666.0,22646.0,22666.0,279.0,"long_red_candle, breakout"
20241007,2024-10-07 10:51:00,22665.0,22669.0,22655.0,22655.0,170.0,breakout
20241007,2024-10-07 10:53:00,22661.0,22671.0,22656.0,22661.0,146.0,breakout
20241007,2024-10-07 10:56:00,22668.0,22681.0,22667.0,22680.0,244.0,breakout
20241007,2024-10-07 10:57:00,22677.0,22685.0,22674.0,22682.0,202.0,breakout
20241007,2024-10-07 11:01:00,22676.0,22694.0,22674.0,22681.0,289.0,breakout
20241007,2024-10-07 11:02:00,22681.0,22695.0,22679.0,22693.0,147.0,breakout
20241007,2024-10-07 11:03:00,22691.0,22708.0,22690.0,22698.0,306.0,breakout
20241007,2024-10-07 11:06:00,22702.0,22710.0,22694.0,22697.0,186.0,breakout
20241007,2024-10-07 11:11:00,22687.0,22712.0,22685.0,22700.0,394.0,"volume_spike, breakout"
20241007,2024-10-07 11:26:00,22680.0,22683.0,22669.0,22674.0,264.0,volume_spike
20241007,2024-10-07 11:46:00,22694.0,22708.0,22693.0,22700.0,353.0,"volume_spike, breakout"
20241007,2024-10-07 12:10:00,22692.0,22700.0,22692.0,22696.0,128.0,volume_spike
20241007,2024-10-07 12:18:00,22692.0,22707.0,22692.0,22704.0,133.0,"volume_spike, breakout"
20241007,2024-10-07 12:19:00,22705.0,22730.0,22705.0,22723.0,516.0,"long_red_candle, volume_spike, breakout"
20241007,2024-10-07 12:22:00,22721.0,22738.0,22720.0,22735.0,334.0,breakout
20241007,2024-10-07 12:30:00,22725.0,22743.0,22725.0,22743.0,295.0,"long_red_candle, volume_spike, breakout"
20241007,2024-10-07 12:31:00,22740.0,22762.0,22739.0,22759.0,594.0,"long_red_candle, volume_spike, breakout"
20241007,2024-10-07 12:32:00,22759.0,22764.0,22752.0,22753.0,250.0,breakout
20241007,2024-10-07 12:38:00,22753.0,22770.0,22752.0,22763.0,272.0,breakout
20241007,2024-10-07 12:44:00,22764.0,22780.0,22764.0,22778.0,536.0,"volume_spike, breakout"
20241007,2024-10-07 12:45:00,22779.0,22781.0,22770.0,22779.0,220.0,breakout
20241007,2024-10-07 12:46:00,22777.0,22783.0,22771.0,22772.0,260.0,breakout
20241007,2024-10-07 13:01:00,22769.0,22785.0,22769.0,22777.0,353.0,"volume_spike, breakout"
20241007,2024-10-07 13:16:00,22772.0,22787.0,22771.0,22785.0,228.0,breakout
20241007,2024-10-07 13:26:00,22766.0,22781.0,22763.0,22777.0,390.0,volume_spike
20241007,2024-10-07 13:28:00,22784.0,22789.0,22776.0,22784.0,327.0,breakout
20241007,2024-10-07 13:34:00,22736.0,22752.0,22733.0,22752.0,246.0,long_red_candle
20241007,2024-10-07 13:41:00,22742.0,22762.0,22741.0,22757.0,427.0,"long_red_candle, volume_spike"
20241007,2024-10-07 13:45:00,22749.0,22779.0,22767.0,22767.0,1308.0,"long_red_candle, volume_spike"
20241008,2024-10-08 09:01:00,22592.0,22608.0,22583.0,22602.0,648.0,volume_spike
